id,CGPA,Academic Pressure,Work Pressure,Study Satisfaction,Job Satisfaction,Work/Study Hours
2,8.97,5.0,0.0,2.0,0.0,3.0
8,5.9,2.0,0.0,5.0,0.0,3.0
26,7.03,3.0,0.0,5.0,0.0,9.0
30,5.59,3.0,0.0,2.0,0.0,4.0
32,8.13,4.0,0.0,3.0,0.0,1.0
33,5.7,2.0,0.0,3.0,0.0,4.0
52,9.54,3.0,0.0,4.0,0.0,1.0
56,8.04,2.0,0.0,4.0,0.0,0.0
59,9.79,3.0,0.0,1.0,0.0,12.0
62,8.38,2.0,0.0,3.0,0.0,2.0
83,6.1,3.0,0.0,3.0,0.0,11.0
91,7.03,3.0,0.0,4.0,0.0,10.0
94,7.04,5.0,0.0,1.0,0.0,10.0
100,8.52,2.0,0.0,4.0,0.0,6.0
103,5.64,5.0,0.0,5.0,0.0,4.0
106,8.58,3.0,0.0,3.0,0.0,10.0
120,6.51,5.0,0.0,2.0,0.0,2.0
132,7.25,5.0,0.0,3.0,0.0,10.0
139,7.83,2.0,0.0,2.0,0.0,6.0
145,9.93,3.0,0.0,3.0,0.0,8.0
161,8.74,3.0,0.0,4.0,0.0,1.0
162,6.73,3.0,0.0,3.0,0.0,0.0
166,5.57,3.0,0.0,3.0,0.0,10.0
172,8.59,1.0,0.0,4.0,0.0,11.0
173,7.1,4.0,0.0,3.0,0.0,11.0
176,8.58,5.0,0.0,5.0,0.0,2.0
186,6.08,2.0,0.0,5.0,0.0,3.0
193,7.25,3.0,0.0,3.0,0.0,10.0
208,5.74,5.0,0.0,2.0,0.0,8.0
214,9.86,3.0,0.0,3.0,0.0,11.0
222,6.7,4.0,0.0,5.0,0.0,5.0
232,6.21,2.0,0.0,3.0,0.0,4.0
239,7.25,1.0,0.0,1.0,0.0,7.0
240,5.87,1.0,0.0,3.0,0.0,8.0
242,8.04,1.0,0.0,3.0,0.0,0.0
253,6.37,1.0,0.0,3.0,0.0,2.0
255,9.72,5.0,0.0,2.0,0.0,0.0
263,5.88,5.0,0.0,3.0,0.0,9.0
270,9.56,1.0,0.0,2.0,0.0,6.0
273,6.51,3.0,0.0,4.0,0.0,3.0
274,6.99,3.0,0.0,2.0,0.0,11.0
