id,Sleep Duration,Dietary Habits,Financial Stress,Family History of Mental Illness
2,'5-6 hours',Healthy,1.0,No
8,'5-6 hours',Moderate,2.0,Yes
26,'Less than 5 hours',Healthy,1.0,Yes
30,'7-8 hours',Moderate,5.0,Yes
32,'5-6 hours',Moderate,1.0,No
33,'Less than 5 hours',Healthy,1.0,No
52,'7-8 hours',Healthy,2.0,No
56,'Less than 5 hours',Unhealthy,1.0,Yes
59,'7-8 hours',Moderate,3.0,No
62,'Less than 5 hours',Moderate,5.0,No
83,'5-6 hours',Moderate,1.0,Yes
91,'Less than 5 hours',Healthy,2.0,Yes
94,'Less than 5 hours',Moderate,1.0,Yes
100,'Less than 5 hours',Unhealthy,2.0,Yes
103,'Less than 5 hours',Moderate,5.0,Yes
106,'More than 8 hours',Moderate,2.0,Yes
120,'Less than 5 hours',Unhealthy,5.0,Yes
132,'5-6 hours',Healthy,3.0,No
139,'7-8 hours',Unhealthy,3.0,No
145,'5-6 hours',Moderate,3.0,Yes
161,'5-6 hours',Moderate,1.0,No
162,'7-8 hours',Moderate,1.0,No
166,'More than 8 hours',Unhealthy,5.0,No
172,'7-8 hours',Healthy,3.0,No
173,'More than 8 hours',Unhealthy,5.0,Yes
176,'7-8 hours',Moderate,2.0,Yes
186,'7-8 hours',Moderate,3.0,Yes
193,'More than 8 hours',Unhealthy,5.0,No
208,'Less than 5 hours',Moderate,3.0,Yes
214,'7-8 hours',Unhealthy,2.0,No
222,'Less than 5 hours',Moderate,4.0,Yes
232,'5-6 hours',Unhealthy,2.0,No
239,'Less than 5 hours',Healthy,2.0,No
240,'7-8 hours',Healthy,4.0,Yes
242,'More than 8 hours',Healthy,3.0,Yes
253,'7-8 hours',Moderate,2.0,No
255,'5-6 hours',Moderate,4.0,Yes
263,'7-8 hours',Unhealthy,1.0,Yes
270,'7-8 hours',Unhealthy,3.0,No
273,'7-8 hours',Unhealthy,4.0,No
274,'7-8 hours',Moderate,5.0,Yes
277,'5-6 hours',Unhealthy,1.0,Yes
280,'5-6 hours',Healthy,1.0,No
285,'Less than 5 hours',Unhealthy,5.0,Yes
294,'More than 8 hours',Unhealthy,5.0,No
301,'7-8 hours',Unhealthy,1.0,No
303,'Less than 5 hours',Healthy,3.0,Yes
305,'Less than 5 hours',Healthy,4.0,Yes
310,'Less than 5 hours',Unhealthy,5.0,Yes
312,'More than 8 hours',Healthy,4.0,Yes
315,'Less than 5 hours',Moderate,4.0,Yes
316,'7-8 hours',Healthy,5.0,Yes
324,'5-6 hours',Unhealthy,4.0,No
328,'7-8 hours',Unhealthy,1.0,Yes
335,'5-6 hours',Unhealthy,1.0,No
336,'More than 8 hours',Healthy,2.0,No
337,'5-6 hours',Moderate,3.0,No
340,'7-8 hours',Moderate,4.0,Yes
343,'5-6 hours',Healthy,4.0,Yes
347,'Less than 5 hours',Healthy,2.0,No
348,'5-6 hours',Unhealthy,3.0,Yes
351,'5-6 hours',Moderate,5.0,No
367,'7-8 hours',Moderate,5.0,No
370,'More than 8 hours',Unhealthy,3.0,Yes
381,'Less than 5 hours',Unhealthy,5.0,Yes
385,'Less than 5 hours',Healthy,5.0,No
392,'7-8 hours',Moderate,4.0,Yes
398,'7-8 hours',Healthy,1.0,Yes
407,'More than 8 hours',Healthy,5.0,No
408,'5-6 hours',Healthy,2.0,No
414,'Less than 5 hours',Moderate,1.0,No
420,'7-8 hours',Moderate,5.0,Yes
421,'7-8 hours',Moderate,4.0,No
423,'Less than 5 hours',Unhealthy,1.0,Yes
425,'7-8 hours',Healthy,2.0,No
429,'5-6 hours',Unhealthy,3.0,No
441,'7-8 hours',Unhealthy,1.0,Yes
447,'7-8 hours',Unhealthy,3.0,Yes
454,'Less than 5 hours',Unhealthy,4.0,No
455,'5-6 hours',Healthy,3.0,Yes
457,'More than 8 hours',Moderate,3.0,Yes
464,'More than 8 hours',Unhealthy,5.0,Yes
467,'More than 8 hours',Moderate,1.0,Yes
475,'5-6 hours',Unhealthy,5.0,No
477,'More than 8 hours',Unhealthy,5.0,No
484,'Less than 5 hours',Moderate,5.0,No
487,'5-6 hours',Moderate,3.0,No
491,'More than 8 hours',Moderate,5.0,No
494,'Less than 5 hours',Healthy,4.0,Yes
503,'More than 8 hours',Unhealthy,2.0,Yes
508,'5-6 hours',Healthy,4.0,Yes
509,'7-8 hours',Unhealthy,4.0,No
510,'More than 8 hours',Healthy,4.0,Yes
522,'More than 8 hours',Healthy,2.0,Yes
523,'5-6 hours',Healthy,4.0,No
525,'7-8 hours',Unhealthy,4.0,Yes
529,'5-6 hours',Moderate,3.0,No
530,'More than 8 hours',Unhealthy,3.0,Yes
534,'Less than 5 hours',Healthy,1.0,Yes
535,'More than 8 hours',Moderate,3.0,No
538,'Less than 5 hours',Unhealthy,5.0,Yes
539,'5-6 hours',Moderate,5.0,No
541,'Less than 5 hours',Moderate,1.0,Yes
543,'Less than 5 hours',Unhealthy,1.0,Yes
556,'5-6 hours',Unhealthy,3.0,No
580,'5-6 hours',Healthy,3.0,Yes
587,'Less than 5 hours',Unhealthy,1.0,No
589,'More than 8 hours',Healthy,5.0,Yes
592,'5-6 hours',Unhealthy,4.0,No
594,'Less than 5 hours',Moderate,2.0,No
595,'Less than 5 hours',Unhealthy,5.0,Yes
598,'Less than 5 hours',Moderate,3.0,Yes
608,'Less than 5 hours',Unhealthy,3.0,Yes
609,'5-6 hours',Healthy,3.0,Yes
611,'Less than 5 hours',Unhealthy,4.0,No
617,'7-8 hours',Moderate,4.0,Yes
620,'Less than 5 hours',Healthy,1.0,Yes
623,'Less than 5 hours',Unhealthy,4.0,No
626,'Less than 5 hours',Unhealthy,4.0,Yes
632,'More than 8 hours',Unhealthy,4.0,No
658,'Less than 5 hours',Moderate,3.0,Yes
660,'Less than 5 hours',Unhealthy,1.0,Yes
662,'More than 8 hours',Unhealthy,2.0,No
668,'More than 8 hours',Unhealthy,5.0,No
671,'7-8 hours',Unhealthy,5.0,No
673,'More than 8 hours',Unhealthy,3.0,No
676,'5-6 hours',Moderate,5.0,Yes
681,'7-8 hours',Healthy,1.0,No
683,'Less than 5 hours',Moderate,4.0,No
687,'7-8 hours',Healthy,5.0,No
688,'Less than 5 hours',Unhealthy,4.0,Yes
695,'Less than 5 hours',Unhealthy,2.0,No
696,'More than 8 hours',Healthy,2.0,No
697,'5-6 hours',Unhealthy,5.0,Yes
701,'More than 8 hours',Unhealthy,5.0,No
707,'More than 8 hours',Unhealthy,3.0,No
708,'5-6 hours',Unhealthy,5.0,Yes
709,'Less than 5 hours',Healthy,4.0,No
710,'More than 8 hours',Moderate,1.0,No
