id,Gender,Age,City,Profession,Degree
2,Male,33.0,Visakhapatnam,Student,B.Pharm
8,Female,24.0,Bangalore,Student,BSc
26,Male,31.0,Srinagar,Student,BA
30,Female,28.0,Varanasi,Student,BCA
32,Female,25.0,Jaipur,Student,M.Tech
33,Male,29.0,Pune,Student,PhD
52,Male,30.0,Thane,Student,BSc
56,Female,30.0,Chennai,Student,'Class 12'
59,Male,28.0,Nagpur,Student,B.Ed
62,Male,31.0,Nashik,Student,LLB
83,Male,24.0,Nagpur,Student,'Class 12'
91,Male,33.0,Vadodara,Student,BE
94,Male,27.0,Kalyan,Student,M.Tech
100,Female,19.0,Rajkot,Student,'Class 12'
103,Female,19.0,Kalyan,Student,'Class 12'
106,Male,29.0,Srinagar,Student,M.Tech
120,Male,25.0,Nashik,Student,M.Ed
132,Female,20.0,Ahmedabad,Student,'Class 12'
139,Male,19.0,Chennai,Student,'Class 12'
145,Male,25.0,Kalyan,Student,B.Ed
161,Male,29.0,Kolkata,Student,B.Ed
162,Male,29.0,Kolkata,Student,M.Tech
166,Female,25.0,Ahmedabad,Student,MSc
172,Male,23.0,Thane,Student,BHM
173,Male,18.0,Bangalore,Student,'Class 12'
176,Female,20.0,Mumbai,Student,'Class 12'
186,Male,31.0,Ahmedabad,Student,LLB
193,Male,25.0,Lucknow,Student,M.Ed
208,Male,33.0,Indore,Student,M.Pharm
214,Male,28.0,Kalyan,Student,M.Pharm
222,Male,18.0,Surat,Student,'Class 12'
232,Male,18.0,Visakhapatnam,Student,'Class 12'
239,Male,21.0,Jaipur,Student,MCA
240,Female,31.0,Kalyan,Student,PhD
242,Male,21.0,Surat,Student,MA
253,Female,25.0,Ludhiana,Student,B.Pharm
255,Female,21.0,Bhopal,Student,B.Com
263,Male,28.0,Srinagar,Student,BCA
270,Male,28.0,Thane,Student,MD
273,Male,25.0,Meerut,Student,B.Pharm
274,Female,20.0,Thane,Student,'Class 12'
277,Male,23.0,Agra,Student,MSc
280,Male,19.0,Agra,Student,'Class 12'
285,Female,33.0,Ghaziabad,Student,MBA
